"       MASTER SPREADSHEET                        Fourteen Select Indexes - Daily Closing Values    January 1986 - July 26, 2019",,,,,,,,,,,,,,
"Sources: Bloomberg and Cboe Exchange, Inc.",Data providers such as Bloomberg (phone: 212-318-2000) can provide historical data for a fee.      Also visit www.Cboe.com/TradTool/,Past performance is not a guarantee of future returns.,"Supporting documentation for statistics or other technical data is available by calling 1-888-OPTIONS, sending an e-mail to help@Cboe.com, or by visiting www.Cboe.com. ","Options involve risk and are not suitable for all investors. Prior to buying or selling an option, a person must receive a copy of Characteristics and Risks of Standardized Options",,Please visit www.Cboe.com and us.spindices.com  for more information and disclosures.  ,"This spreadsheet is updated about once a year, and is based on data from secondary sources believed (but not guaranteed) to be accurate.",Indexes are not investable,,,,,,
01-Jun-87,103.04,,289.83,101.95,111.64,,,22.4,115.4,101.6,117.71,114.17,108.8,112.78
02-Jun-87,102.66,,288.46,101.78,111.33,,,23.46,114.92,101.46,117.4,113.89,108.78,112.29
03-Jun-87,103.58,,293.47,102.42,112.81,,,23.14,116.54,101.21,118.75,114.9,108.73,114.16
04-Jun-87,103.88,,295.09,102.64,113.3,,,22.55,117.1,101.01,119.25,115.26,108.89,114.77
05-Jun-87,103.75,,293.45,102.65,112.73,,,22.87,116.7,101.58,118.83,115.11,108.97,114.11
08-Jun-87,104.35,,296.72,102.94,113.86,,,21.46,117.78,101.12,119.87,115.71,108.98,115.37
09-Jun-87,104.47,,297.28,103.03,114.02,,,21.65,118.05,101.05,120.08,115.85,109.14,115.6
10-Jun-87,104.48,,297.47,103.12,114.08,,,21.67,118.15,101.02,120.16,115.98,109.12,115.68
11-Jun-87,104.67,,298.73,103.19,114.56,,,22.13,118.63,100.57,120.64,116.17,109.21,116.18
12-Jun-87,104.78,,301.62,103.26,115.65,,,21.64,119.27,99.13,121.4,116.4,109.06,117.31
15-Jun-87,104.79,,303.14,103.33,116.25,,,21.24,119.59,98.43,121.77,116.48,109.14,117.91
16-Jun-87,104.82,,304.76,103.35,116.9,,,20.82,119.77,97.63,122.08,116.53,108.89,118.55
17-Jun-87,104.74,,304.81,103.36,116.93,,,21.47,119.92,97.38,122.2,116.53,109.08,118.58
18-Jun-87,104.91,,305.69,103.38,117.27,,,21.8,120.26,96.78,122.61,116.73,109.27,118.93
19-Jun-87,104.94,,306.97,103.34,117.77,,,20.8,120.24,96.11,122.64,116.59,109.61,119.43
22-Jun-87,105.46,,309.65,103.94,118.17,,,20.71,120.94,96.5,123.42,117.25,110.25,120.33
23-Jun-87,105.24,,308.43,103.84,117.93,,,21.11,120.71,96.5,123.1,117.09,110.12,119.88
24-Jun-87,105.07,,306.86,103.69,117.66,,,21.5,120.31,96.64,122.65,116.81,109.97,119.31
25-Jun-87,105.49,,308.96,104.12,118.14,,,20.76,120.93,96.87,123.27,117.36,110.47,120.02
26-Jun-87,105.26,,307.16,103.85,117.83,,,20.62,120.56,96.79,122.79,117.03,110.25,119.39
29-Jun-87,105.52,,307.9,104.12,118.03,,,20.61,120.88,97.09,123.08,117.32,110.54,119.61
30-Jun-87,104.71,,304,103.62,117,,,21.33,119.74,96.9,121.81,116.49,110.08,118.17
01-Jul-87,104.53,,302.94,103.48,116.82,,,20.99,119.46,96.92,121.52,116.28,109.85,117.8
02-Jul-87,105.46,,305.63,104,117.6,,,20.04,120.59,97.6,122.48,117.12,110.43,118.73
06-Jul-87,105.33,,304.92,104.07,117.33,,,20.6,120.38,97.78,122.21,117.04,110.6,118.43
07-Jul-87,105.91,,307.4,104.61,118,,,19.85,121.25,98.21,123.03,117.77,111.21,119.35
08-Jul-87,106.21,,308.29,104.82,118.28,,,19.3,121.67,98.5,123.38,118.09,111.3,119.69
09-Jul-87,106.16,,307.52,104.82,118.04,,,19.28,121.45,98.88,123.08,117.99,111.35,119.4
10-Jul-87,106.57,,308.37,105.06,118.28,,,17.76,121.86,99.5,123.4,118.33,111.47,119.73
13-Jul-87,106.5,,307.63,105.13,118.05,,,17.78,121.66,99.89,123.14,118.25,111.53,119.43
14-Jul-87,107.22,,310.68,105.47,118.89,,,17.1,122.76,99.87,124.35,118.99,111.61,120.63
15-Jul-87,107.26,,310.42,105.46,118.81,,,17.51,122.77,100.05,124.26,118.99,111.63,120.53
16-Jul-87,107.7,,312.7,105.59,119.58,,,17.1,123.64,99.6,125.18,119.49,111.65,121.43
17-Jul-87,107.72,,314.59,105.56,120.23,,,16.65,124.55,98.3,125.85,119.87,111.65,122.16
20-Jul-87,106.84,,311.39,105.48,119.11,,,16.75,123.5,98.39,124.88,119.26,111.59,120.91
21-Jul-87,106.23,,308.55,105.17,118.31,,,17.43,122.63,98.4,124.17,118.6,111.34,119.89
22-Jul-87,106.31,,308.47,105.1,118.36,,,17.73,122.68,98.4,124.22,118.58,111.24,119.89
23-Jul-87,106.23,,307.81,105.05,118.13,,,17.31,122.51,98.61,124.12,118.44,111.33,119.68
24-Jul-87,106.64,,309.27,105.31,118.58,,,17.12,123.06,98.78,124.49,118.88,111.34,120.2
27-Jul-87,107.02,,310.65,105.73,119.02,,,16.61,123.56,99.15,124.82,119.36,111.83,120.62
28-Jul-87,107.49,,312.33,105.92,119.57,,,15.95,124.17,99.16,125.4,119.8,111.99,121.21
29-Jul-87,108.1,,315.65,106.46,120.5,,,15.91,125.12,99.29,126.14,120.65,112.5,122.4
30-Jul-87,108.25,,318.05,106.7,121.11,,,16.4,125.51,98.85,126.48,121.09,112.73,123.29
31-Jul-87,108.47,,318.66,106.76,121.42,,,16.45,125.82,98.79,126.79,121.3,112.85,123.54
03-Aug-87,108.25,,317.57,106.66,121.14,,,17.45,125.57,98.69,126.51,121.07,112.84,123.14
04-Aug-87,108.07,,316.23,106.57,120.69,,,18.09,125.19,99.02,126.19,120.79,112.71,122.65
05-Aug-87,108.46,,318.45,106.8,121.46,,,17.67,125.81,98.65,126.74,121.34,112.91,123.46
06-Aug-87,108.95,,322.09,107.12,122.39,,,17.05,126.55,98.45,127.43,122.03,113.18,124.88
07-Aug-87,109.02,,323,107.29,122.59,,,17.3,126.78,98.43,127.59,122.25,113.26,125.22
10-Aug-87,109.33,,328,107.4,123.5,,,17.09,127.43,97.51,128.28,122.77,113.39,127.17
11-Aug-87,109.17,,333.33,107.46,123.56,,,20.91,127.35,97.19,128.23,122.84,113.4,129.24
12-Aug-87,109.2,,332.39,107.47,123.48,,,22.8,127.24,97.4,128.14,122.8,113.42,128.89
13-Aug-87,109.3,,334.65,107.5,123.86,,,22.4,127.52,96.92,128.45,123.03,113.44,129.78
14-Aug-87,109.32,,333.99,107.54,123.9,,,22.59,127.52,96.93,128.45,123.07,113.46,129.53
17-Aug-87,109.45,,334.11,107.59,124.13,,,22.41,127.73,96.86,128.67,123.2,113.51,129.58
18-Aug-87,109.49,,329.25,107.61,123.83,,,22.59,127.67,97.47,128.55,123.06,113.53,127.71
19-Aug-87,109.55,,329.83,107.63,124.22,,,22.35,127.86,96.94,128.79,123.27,113.55,127.94
20-Aug-87,109.6,,334.84,107.64,124.14,,,22.34,127.92,97.12,128.83,123.26,113.57,129.9
21-Aug-87,109.59,,335.9,107.61,124.34,,,21.37,127.94,96.69,128.79,123.32,113.57,130.31
24-Aug-87,108.94,,333.33,107.46,123.5,,,21.57,127.18,96.64,128.01,122.85,113.63,129.36
25-Aug-87,109.7,,336.77,107.91,124.62,,,21.92,128.2,96.74,128.94,123.6,114.08,130.55
26-Aug-87,109.27,,334.57,107.81,123.93,,,22.12,127.64,96.9,128.34,123.27,113.84,129.75
27-Aug-87,108.72,,331.38,107.17,123.01,,,22.5,126.79,96.47,127.69,122.51,113.43,128.64
28-Aug-87,107.63,,327.04,106.4,121.55,,,22.98,125.42,95.9,126.4,121.41,112.76,127.2
31-Aug-87,108.47,,329.8,107.22,122.58,,,22.33,126.44,96.63,127.22,122.35,113.58,127.99
01-Sep-87,106.81,,323.4,105.47,120.38,,,22.07,124.33,95.2,125.62,120.34,114.1,126.14
02-Sep-87,106.28,,321.68,105.34,119.76,,,24.01,123.65,94.99,125.13,119.95,111.75,125.45
03-Sep-87,105.92,,320.21,104.79,119.23,,,23.26,123.16,94.5,124.71,119.39,111.18,125.07
04-Sep-87,104.84,,316.7,103.8,117.95,,,23.63,121.86,93.65,123.91,118.21,110.23,124.16
08-Sep-87,103.85,,313.56,103.01,116.83,,,24.37,120.69,92.88,123.02,117.16,109.27,123.29
09-Sep-87,103.98,,313.92,103.23,116.96,,,23.7,120.84,92.9,123.31,117.37,109.46,123.2
10-Sep-87,105.07,,317.13,104.15,118.15,,,22.98,122.08,93.54,124.12,118.5,110.77,123.84
11-Sep-87,106.68,,321.98,105.82,119.96,,,21.68,123.96,95.03,125.17,120.36,113.46,124.93
14-Sep-87,107.06,,323.08,105.96,120.38,,,22.35,124.39,95.06,125.56,120.63,113.69,125.25
15-Sep-87,105.3,,317.74,104.68,118.4,,,21.81,122.34,93.47,124.45,118.91,111.94,123.48
16-Sep-87,104.35,,314.86,103.59,117.34,,,23.06,121.24,92.32,124.01,117.77,109.77,122.78
17-Sep-87,104.38,,314.93,103.83,117.37,,,22.89,121.28,92.3,123.99,117.93,110.32,122.53
18-Sep-87,104.39,,314.86,103.58,117.35,,,22.2,121.32,91.26,124.71,117.75,109.63,121.99
21-Sep-87,103.81,,310.54,102.95,116.15,,,22.58,120.26,91.57,123.81,116.86,109.75,120.5
22-Sep-87,105.1,,319.5,104.05,118.7,,,23,122.74,90.8,126.14,118.69,109.58,123.64
23-Sep-87,105.32,,321.19,104.19,119.25,,,23.19,123.14,90.61,126.61,118.97,109.35,124.28
24-Sep-87,105.36,,319.72,104.11,118.87,,,23.33,122.92,90.98,126.32,118.82,109.67,123.73
25-Sep-87,105.44,,320.16,104.35,118.9,,,22.83,123.1,91.07,126.4,119.05,109.82,123.85
28-Sep-87,105.86,,323.2,104.58,119.86,,,22.49,123.92,90.68,127.24,119.57,109.64,125.01
29-Sep-87,105.82,,321.69,104.6,119.46,,,22.96,123.71,91.13,126.89,119.48,109.99,124.45
30-Sep-87,105.94,,321.83,104.7,119.37,,,22.38,123.82,91.22,127.05,119.59,110.17,124.48
01-Oct-87,106.31,,327.33,104.94,121.18,,,21.83,124.98,89.97,128.45,120.3,109.47,126.62
02-Oct-87,106.53,,328.07,105.03,121.39,,,21.42,125.25,89.9,128.85,120.49,109.6,126.89
05-Oct-87,106.96,,328.08,105.06,121.46,,,21.15,125.66,90.25,129.08,120.69,110.03,126.9
06-Oct-87,106.21,,319.22,104.64,118.71,,,24.28,123.65,92.27,126.64,119.47,110.79,123.48
07-Oct-87,106.13,,318.52,104.82,118.44,,,22.09,123.58,92.66,126.33,119.54,110.99,123.25
08-Oct-87,105.49,,314.16,104.49,117.16,,,23.52,122.24,93.27,124.93,118.71,111,121.57
09-Oct-87,105.06,,311.07,104.25,116.33,,,23.76,121.22,93.77,123.87,118.08,111,120.37
12-Oct-87,104.64,,309.39,104.29,115.72,,,24.59,120.63,93.99,123.16,117.79,111.1,119.74
13-Oct-87,106,,314.52,105.05,117.28,,,24.32,122.63,94.47,124.88,119.2,111.25,121.71
14-Oct-87,103.6,,305.23,103.31,114.85,,,26.36,119.04,93.14,122.22,116.47,110.69,118.17
15-Oct-87,101.25,,298.08,101.46,112.98,,,27.86,116.26,90.81,120.82,114.08,109.25,115.58
16-Oct-87,96.05,,282.7,97.77,110.7,,,36.37,110.36,88.87,115.86,108.02,107.64,114.18
19-Oct-87,77.47,,224.84,73.91,114.37,,,150.19,88.22,91.62,92.16,85.26,108.16,116.21
20-Oct-87,81.18,,236.83,75.33,119.76,,,140,92.83,90.71,96.95,88.14,108.25,119.29
21-Oct-87,88.45,,258.38,84.98,112.64,,,73.91,101.23,90.38,105.9,97.64,108.13,117.01
22-Oct-87,85.32,,248.25,84.47,112.98,,,102.22,97.65,90.45,101.85,95.59,108.01,113.7
23-Oct-87,85.53,,248.22,82.73,113.04,,,98.81,97.72,90.87,101.89,94.75,108.08,115.62
26-Oct-87,78.8,,227.67,75.95,112.94,,,113.33,89.72,91.75,93.52,87.15,108.25,115.23
27-Oct-87,80.74,,233.19,77.55,111.71,,,97.51,91.98,91.63,95.78,89.13,108.34,115.63
28-Oct-87,81.08,,233.28,78.96,110.36,,,81.24,92.22,91.99,95.86,90.13,108.47,114.14
29-Oct-87,85.19,,244.77,85.64,110.04,,,64.66,96.83,92.14,100.66,96.18,108.56,111.26
30-Oct-87,87.48,,251.79,88.11,109.15,,,61.41,99.58,91.78,103.48,98.85,108.61,111.28
02-Nov-87,88.91,,255.75,88.16,111.16,,,54.9,101.18,91.89,105.18,99.67,108.56,112.81
03-Nov-87,87.46,,250.82,83.97,111.45,,,58.44,99.39,92.25,103.19,96.51,108.68,115.54
04-Nov-87,86.84,,248.96,87.84,110.77,,,58.47,98.64,92.38,102.41,98.34,108.7,110.6
05-Nov-87,88.74,,254.48,89.26,109.71,,,53.54,100.85,92.25,104.73,100.2,108.73,111.19
06-Nov-87,87.43,,250.41,87.61,109.81,,,55.78,99.28,92.46,103.07,98.55,108.75,111.46
09-Nov-87,84.95,,243.17,85.65,109.38,,,54.73,96.43,92.6,100.1,96.04,108.8,110.9
10-Nov-87,83.51,,239,84.79,109.42,,,54.76,94.81,92.58,98.39,94.75,108.82,110.27
11-Nov-87,84.54,,241.9,85.68,110.04,,,55.55,95.97,92.6,99.6,95.83,108.84,110.43
12-Nov-87,86.83,,248.52,87.98,109.39,,,49.21,98.6,92.53,102.33,98.41,108.85,110.48
13-Nov-87,85.86,,245.64,86.94,109.08,,,47.59,97.47,92.63,101.15,97.29,108.87,110.54
16-Nov-87,86.28,,246.76,85.77,109.13,,,46.5,97.92,92.73,101.63,96.85,108.92,112.33
17-Nov-87,84.99,,243.04,84.29,109.99,,,49.59,96.46,92.74,100.1,95.31,108.94,112.54
18-Nov-87,85.88,,245.55,85.97,109.81,,,46.53,97.46,92.76,101.15,96.75,108.96,111.69
19-Nov-87,83.96,,240.05,84.94,109.26,,,49.5,95.29,92.77,98.89,95.1,108.97,110.73
20-Nov-87,84.67,,242,84.69,109.27,,,47.62,96.19,92.77,99.43,95.29,108.97,111.69
23-Nov-87,85.17,,242.99,85.19,108.83,,,43.37,96.8,92.5,100.16,95.9,109.12,111.3
24-Nov-87,86.27,,246.39,86.09,109.76,,,38.11,98.21,92.88,101.32,97.12,109.65,112.22
25-Nov-87,85.95,,244.1,86.22,108.68,,,36.3,97.83,92.87,100.81,96.99,109.9,111.02
27-Nov-87,85.27,,240.34,85.39,107.66,,,42.11,96.59,93.01,99.73,96.03,109.72,109.91
30-Nov-87,82.65,,230.3,83.74,104.45,,,46.13,93.06,92.59,96.55,93.48,109.2,106.47
01-Dec-87,83.46,,232,84.01,104.94,,,45.73,93.81,92.91,97.21,94.03,109.36,106.97
02-Dec-87,84.07,,233.45,84.44,105.27,,,43.7,94.52,93.11,97.7,94.61,109.84,107.29
03-Dec-87,81.49,,225.21,82.33,102.88,,,47.22,91.29,91.73,95.21,91.89,109.26,104.83
04-Dec-87,81.19,,223.92,82.18,102.21,,,47.63,90.82,91.52,94.89,91.56,109.09,104.15
07-Dec-87,82.89,,228.76,83.82,103.31,,,43.68,92.76,92.76,96.22,93.42,109.67,105.27
08-Dec-87,84.82,,234.91,85.77,105.14,,,41.38,95.23,94.36,98.04,95.72,110.04,107.14
09-Dec-87,85.63,,238.89,86.16,106.56,,,43.88,96.6,93.83,99.49,96.54,110.19,108.62
10-Dec-87,84.21,,233.57,84.88,104.92,,,49,94.64,93.09,97.78,94.92,110.25,106.88
11-Dec-87,84.99,,235.32,85.77,105.11,,,48.44,95.44,93.9,98.35,95.83,110.37,107.07
14-Dec-87,86.86,,242.19,87.54,107.48,,,47.44,98.13,95.09,100.27,98.01,110.94,109.52
15-Dec-87,87.32,,242.8,87.77,107.61,,,47.01,98.47,95.5,100.48,98.4,111.01,109.63
16-Dec-87,88.68,,248.08,88.47,109.85,,,44.23,100.57,95.62,102.47,99.76,111.1,111.9
17-Dec-87,87.97,,242.98,88.21,107.6,,,42,98.65,96.96,100.48,98.87,111.12,109.61
18-Dec-87,89.11,,249.16,88.69,110.32,,,38.54,101.31,95.79,102.59,100.39,111.12,112.37
21-Dec-87,88.69,,249.54,89.29,109.9,,,36.29,101.38,95.09,102.76,100.67,111.32,111.94
22-Dec-87,89.32,,249.95,89.4,110.03,,,35.92,101.89,95.61,103.1,101,111.54,112.07
23-Dec-87,89.91,,253.16,90.21,110.51,,,32.81,102.99,95.52,104.1,101.9,111.79,112.94
24-Dec-87,90.03,,252.02,90.13,110.51,,,31.65,102.84,95.6,103.99,101.89,111.86,112.4
28-Dec-87,88.72,,245.57,89.16,109.13,,,38.92,100.73,96.25,101.78,100.38,111.16,110.19
29-Dec-87,88.43,,244.59,89.27,108.61,,,38.23,100.36,96.39,101.31,100.3,111.62,109.72
30-Dec-87,89.23,,247.86,89.89,109.32,,,35.66,101.36,96.45,102.36,101.12,111.66,110.76
31-Dec-87,89.35,,247.08,89.34,109.46,,,39.45,101.36,96.51,102.29,100.83,111.3,110.84
4-Jan-1988,90.66,,255.94,90.9,111.11,,,36.49,104.02,95.19,105.35,102.77,112.24,113.74
5-Jan-1988,91.17,,258.63,91.11,111.63,,,36.9,104.72,94.97,106.19,103.18,112.47,114.82
6-Jan-1988,91.38,,258.89,91.26,111.84,,,37.06,105.05,94.93,106.38,103.45,112.51,114.88
7-Jan-1988,91.44,,261.07,91.51,112.24,,,34.36,105.62,94.06,107.18,103.7,112.6,115.71
8-Jan-1988,88.92,,243.4,88.52,109.66,,,49.36,100.31,96.97,101.36,100.01,110.84,109.83
11-Jan-1988,89.93,,247.49,90.46,110.08,,,40.54,102.02,97.36,102.58,101.84,112.3,110.21
12-Jan-1988,89.75,,245.42,90.41,109.47,,,41.2,101.37,97.96,101.82,101.56,112.41,109.16
13-Jan-1988,89.9,,245.81,90.56,109.97,,,41.59,101.52,98.12,101.99,101.78,112.52,109.28
14-Jan-1988,89.93,,245.88,90.69,110,,,42.22,101.6,98.29,101.95,101.86,112.59,109.27
15-Jan-1988,92.25,,252.05,91.81,111.58,,,36.37,104.34,99.81,103.99,103.86,112.82,111.62
18-Jan-1988,92.23,,251.88,92.14,111.32,,,35.19,104.37,100.03,103.97,104.12,113.23,111.3
19-Jan-1988,91.88,,249.32,91.68,110.65,,,35.97,103.75,100.01,103.46,103.57,112.76,110.47
20-Jan-1988,90.16,,242.63,90.4,108.76,,,39.87,101.41,99.49,101.52,101.74,112.49,108.26
21-Jan-1988,90.4,,243.14,90.56,109.16,,,40.42,101.61,99.93,101.57,101.96,112.07,108.51
22-Jan-1988,91.29,,246.5,91.53,109.62,,,38.21,102.91,100.1,102.65,103.17,112.58,109.3
25-Jan-1988,92.63,,252.17,92.63,111.05,,,35.95,104.75,100.28,104.23,104.62,113.73,111.04
26-Jan-1988,92.21,,249.57,92.21,110.64,,,36.48,104.11,100.15,103.68,104.04,113.46,110.14
27-Jan-1988,92.1,,249.38,92.37,110.41,,,36.69,104.04,100.27,103.71,104.1,112.82,110.03
28-Jan-1988,93.24,,253.29,93.03,111.48,,,36.31,105.5,100.28,104.95,105.19,114.21,111.19
29-Jan-1988,94.15,,257.07,93.52,112.6,,,35.55,106.62,100.79,105.81,105.99,114.51,112.7
1-Feb-1988,93.81,,255.04,93.45,112.16,,,36.73,106.14,100.9,105.4,105.71,113.71,111.92
2-Feb-1988,94.12,,255.57,93.49,112.22,,,36.17,106.46,100.83,105.75,105.94,114.52,112.09
3-Feb-1988,93.45,,252.21,93.1,111.55,,,38.63,105.39,101.05,104.73,105.26,114.38,110.89
4-Feb-1988,93.35,,252.21,93.37,111.2,,,38.32,105.46,100.91,104.68,105.36,114.55,110.76
5-Feb-1988,93.52,,250.96,93.17,111.18,,,38.47,105.26,101.08,104.73,105.26,114.5,110.24
8-Feb-1988,93.17,,249.1,93.15,110.38,,,37.96,104.71,101.31,104.18,105.02,114.41,109.48
9-Feb-1988,94.03,,251.72,94.05,111.02,,,34.15,105.8,101.98,104.85,106.07,114.51,110.17
10-Feb-1988,94.99,,256.66,94.66,112.61,,,35.09,107.5,101.91,106.36,107.12,114.8,112.25
11-Feb-1988,94.7,,255.95,94.41,112.47,,,37.39,107.18,101.65,106.08,106.83,115.05,112.07
12-Feb-1988,95.62,,257.63,94.93,112.92,,,33.95,108.14,102.19,106.88,107.63,115.36,112.55
16-Feb-1988,96.05,,259.83,95.42,113.57,,,32.86,109.12,102.17,107.66,108.31,115.28,113.51
17-Feb-1988,96.3,,259.21,95.46,113.24,,,32.07,109.06,102.74,107.6,108.39,115.37,113.22
18-Feb-1988,96.42,,257.91,95.55,112.67,,,31.8,108.7,103.7,107.1,108.44,115.46,112.64
19-Feb-1988,96.56,,261.61,95.61,113.88,,,27.53,110.37,101.49,108.44,109,115.46,114.25
22-Feb-1988,97.37,,265.64,96.32,115.4,,,28.41,111.61,101.58,109.4,110,115.66,115.65
23-Feb-1988,97.12,,265.02,96.17,115.16,,,29.76,111.41,101.27,109.3,109.82,115.2,115.54
24-Feb-1988,97.02,,264.43,96.18,114.92,,,30.13,111.27,101.42,109.13,109.77,115.44,115.27
25-Feb-1988,96.49,,261.58,95.58,113.87,,,32.17,110.45,101.39,108.41,109.03,115.13,114.41
26-Feb-1988,96.83,,262.46,95.86,114.15,,,32.06,110.83,101.59,108.72,109.38,115.48,114.57
29-Feb-1988,98.17,,267.82,96.76,116.37,,,29.83,112.57,101.73,110.19,110.74,115.94,116.54
1-Mar-1988,98.04,,267.22,96.75,116.09,,,30.08,112.45,101.72,110.12,110.67,115.99,116.28
2-Mar-1988,98.21,,267.98,96.93,116.39,,,29.59,112.69,101.76,110.26,110.9,116.04,116.55
3-Mar-1988,98.31,,267.88,96.9,116.38,,,30.27,112.81,101.71,110.38,110.95,116.1,116.53
4-Mar-1988,98.34,,267.3,96.97,116.16,,,29.35,112.92,101.71,110.5,111.05,116.45,116.2
7-Mar-1988,98.46,,267.38,97.41,116.18,,,28.39,113.06,102.29,110.45,111.35,116.69,116.13
8-Mar-1988,98.99,,269.43,97.58,117.06,,,28.01,113.69,102.2,111.04,111.76,116.86,116.98
9-Mar-1988,99.06,,269.06,97.63,116.9,,,27.85,113.74,102.37,111.11,111.82,116.87,116.83
10-Mar-1988,98.25,,263.84,97.07,114.68,,,30.11,112.32,102.97,109.9,110.8,116.81,114.62
11-Mar-1988,98.72,,264.94,97.46,115.16,,,27.64,112.95,103.58,110.2,111.34,117.12,115.05
14-Mar-1988,98.89,,266.37,97.83,115.76,,,28.66,113.46,103.52,110.57,111.79,117.22,115.63
15-Mar-1988,99.18,,266.13,97.98,115.65,,,29.14,113.53,104.31,110.57,111.91,117.32,115.5
16-Mar-1988,99.37,,268.65,97.97,116.75,,,28.64,114.18,103.06,111.32,112.24,117.37,116.58
17-Mar-1988,99.97,,271.22,98.23,117.87,,,26.62,115.23,102.75,112.28,112.91,117.46,117.67
18-Mar-1988,99.94,,271.12,98.21,117.83,,,28.02,115.68,102.51,112.47,113.08,117.46,117.62
21-Mar-1988,99.28,,268.74,98.12,116.81,,,28.01,114.93,102.54,111.62,112.65,117.56,116.59
22-Mar-1988,99.46,,268.84,98.18,116.87,,,27.54,115.04,102.78,111.68,112.74,117.39,116.63
23-Mar-1988,99.54,,268.91,98.32,116.84,,,27.22,115.09,102.89,111.72,112.85,117.82,116.5
24-Mar-1988,98.07,,263.35,96.86,115.59,,,31.89,113.07,102.41,109.83,111.03,116.5,114.97
25-Mar-1988,96.64,,258.51,95.49,114.69,,,34.24,111.27,101.57,108.17,109.37,115.52,113.76
28-Mar-1988,96.53,,258.06,95.78,114.15,,,32.49,111.11,101.69,107.96,109.44,115.94,113.28
29-Mar-1988,97.28,,260.07,96.31,114.6,,,32.12,111.96,102.05,108.81,110.16,116.23,113.78
30-Mar-1988,96.61,,258.07,95.71,114.47,,,32.39,111.14,101.79,107.98,109.42,115.83,113.41
31-Mar-1988,96.96,,258.89,96.2,114.32,,,26.94,111.53,102.01,108.21,109.9,115.92,113.3
4-Apr-1988,96.01,,256.09,95.47,113.72,,,31.3,110.36,101.14,107.39,108.88,115.56,112.4
5-Apr-1988,96.95,,258.51,96.37,113.96,,,28.54,111.44,101.38,108.37,109.93,116.98,112.58
6-Apr-1988,99.42,,265.49,98.79,115.74,,,24.75,114.41,104.16,110.7,112.78,118.75,114.64
7-Apr-1988,99.66,,266.16,98.79,115.89,,,25.65,114.71,104.04,111.11,112.93,118.81,114.87
8-Apr-1988,100.65,,269.43,99.55,116.7,,,25.45,116.04,104.91,112.16,114.02,119.05,116.19
11-Apr-1988,100.97,,270.16,99.93,116.9,,,25.83,116.38,105.63,112.42,114.39,119.03,116.5
12-Apr-1988,101.34,,271.37,100.29,117.25,,,25.75,116.9,106.12,112.84,114.86,119.06,116.99
13-Apr-1988,101.57,,271.57,100.26,117.46,,,26.1,117.04,106.23,113.02,114.91,119.15,117.06
14-Apr-1988,97.49,,259.75,96.42,114.84,,,30.92,112.03,100.75,108.75,110.26,117.6,112.73
15-Apr-1988,97.5,,259.77,97.17,114.44,,,31.64,112.1,100.81,107.98,110.63,119.35,111.91
18-Apr-1988,97.29,,259.21,97.48,113.93,,,27.81,112.16,100.75,107.94,110.83,119.37,111.38
19-Apr-1988,97.13,,257.92,97.4,113.55,,,27.37,111.85,100.84,107.6,110.73,119.5,110.82
20-Apr-1988,96.57,,256.13,97.27,112.99,,,28.83,111.09,101.09,106.85,110.28,119.6,110.19
21-Apr-1988,96.85,,256.42,97.28,112.94,,,29.04,111.28,101.44,107.01,110.33,119.61,110.36
22-Apr-1988,97.56,,260.14,98.09,113.85,,,28.05,112.5,100.98,108.18,111.39,119.26,111.39
25-Apr-1988,98.35,,262.46,98.45,114.37,,,26.5,113.45,101.02,109.16,112,119.21,112.16
26-Apr-1988,98.49,,263.93,98.74,114.72,,,24.92,113.94,100.56,109.64,112.32,119.3,112.66
27-Apr-1988,98.6,,263.8,98.8,114.65,,,25.52,114.03,100.66,109.69,112.44,119.44,112.57
28-Apr-1988,98.48,,262.61,98.72,114.35,,,27.09,113.76,101.06,109.34,112.31,119.64,112.12
29-Apr-1988,98.4,,261.33,98.64,114.05,,,27.04,113.4,101.6,108.89,112.22,119.7,111.63
2-May-1988,98.54,,261.56,98.85,113.85,,,26.31,113.56,101.59,109.03,112.38,119.75,111.57
3-May-1988,98.97,,263,99.15,114.3,,,25.43,114.16,101.67,109.58,112.8,119.74,112.11
4-May-1988,98.53,,260.32,98.81,113.44,,,26.85,113.33,102.02,108.74,112.27,120.02,111.06
5-May-1988,98.27,,258.79,98.78,112.94,,,27.76,112.89,102.3,108.33,112.08,120.07,110.48
6-May-1988,98.32,,257.48,98.72,112.65,,,26.62,112.46,103.27,107.79,111.92,120.09,110.01
9-May-1988,98.24,,256.54,98.79,112.19,,,25.58,112.2,103.58,107.52,111.87,120.19,109.66
10-May-1988,98.49,,257.62,99.15,112.37,,,24.62,112.61,103.61,107.82,112.28,120.21,109.96
11-May-1988,97.45,,253.31,98.13,111.58,,,28.05,110.84,103.53,106.37,110.89,120.23,108.54
12-May-1988,97.67,,253.85,98.47,111.49,,,26.7,111.09,103.75,106.55,111.22,120.28,108.55
13-May-1988,98.56,,256.78,99.25,112.03,,,25.6,112.36,104.27,107.48,112.29,120.3,109.57
16-May-1988,99.13,,258.71,99.65,112.56,,,25.27,113.26,104.53,108.27,112.93,120.36,110.39
17-May-1988,98.51,,255.39,99.15,111.81,,,25.25,111.91,104.7,107.18,112.05,120.38,109.08
18-May-1988,97.13,,251.35,98.24,110.92,,,27.19,110.17,103.45,105.83,110.68,120.4,107.42
19-May-1988,97.66,,252.57,99.02,111.08,,,26.83,110.72,104.69,105.93,111.41,120.41,107.8
